CRN;Course;Session;Title;Instructor;Time/Location;Credits
24431;ECON 800 011;Full Term;GRADUATE RESEARCH;Perrigne, Isabelle;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
21814;GLBL 502 001;1st Half of Full Term;INSTITUTIONS & DEVELOPMENT;Jones, Mark P.;6:00PM - 8:50PM R BKH 116GR Course-Dept Schedules Exam;1.5
25418;GLBL 512 001;1st Half of Full Term;INTERNATIONAL CONFLICT;Jones, Mark P.;6:00PM - 9:00PM T BKH 116GR Course-Dept Schedules Exam;1.5
21819;GLBL 513 001;2nd Half of Full Term;INTERNATIONAL COOPERATION;Lewis, Steven W.;6:00PM - 8:50PM R BKH 102GR Course-Dept Schedules Exam;1.5
24160;GLBL 519 002;Full Term;MASTER GLOBAL AFFAIRS INTRNSHP;Jones, Mark P.;TBA TBAGR Course-Dept Schedules Exam;1 TO 6
22568;GLBL 520 001;Full Term;MASTER GLOBAL AFFAIRS CAPSTONE;Jones, Mark P.;TBA TBAGR Course-Dept Schedules Exam;3
25497;GLBL 521 001;Full Term;DIR READING IN GLOBAL AFFAIRS;Jones, Mark P.;TBA TBAGR Course-Dept Schedules Exam;3
24521;GLBL 524 001;Full Term;MACROECONOMICS GLOBAL ECONOMY;DeNicco, James P.;6:00PM - 9:00PM M HUM 119GR Course-Dept Schedules Exam;3
24522;GLBL 525 001;Full Term;INTERNATIONAL SECURITY;Ard, Michael J.;6:00PM - 9:00PM T HUM 328GR Course-Dept Schedules Exam;3
25522;GLBL 573 001;Full Term;NON-THESIS GRADUATE RESEARCH;Jones, Mark P.;TBA TBAGR Course-Dept Schedules Exam;3
20332;LING 200 002;Full Term;INTRO TO STUDY OF LANGUAGE;Durian, David C.;9:25AM - 10:40AM TR HRG 10028-APR-2018 9:00AM - 12:00PM S TBA TBAScheduled Final Exam-OTR Room;3
24488;LING 301 001;Full Term;PHONETICS;Durian, David C.;10:50AM - 12:05PM TR HUM 11926-APR-2018 9:00AM - 12:00PM R TBA TBATake-Home Exam;3
24490;LING 306 001;Full Term;LANGUAGE, THOUGHT, AND MIND;Kemmer, Suzanne E.;9:25AM - 10:40AM TR HRG 12528-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
22484;LING 325 001;Full Term;LANGUAGE ACQUISITION;Gurcanli, Ozge;4:00PM - 5:15PM TR SEW 30327-APR-2018 2:00PM - 5:00PM F TBA TBANo Final Exam;3
23937;LING 400 001;Full Term;LINGUISTIC ANALYSIS II;Englebretson, Robert E.;1:00PM - 1:50PM MWF HRG 1251-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;3
23324;LING 416 001;Full Term;LANGUAGE UNIVERSALS & TYPOLOGY;Kemmer, Suzanne E.;1:00PM - 2:15PM TR HRG 12527-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
20764;LING 480 001;Full Term;INDEPENDENT STUDY;Achard, Michel J.;TBA TBANo Final Exam;1 TO 6
20765;LING 480 004;Full Term;INDEPENDENT STUDY;Englebretson, Robert E.;TBA TBANo Final Exam;1 TO 6
20766;LING 480 005;Full Term;INDEPENDENT STUDY;Kemmer, Suzanne E.;TBA TBANo Final Exam;1 TO 6
