CRN;Course;Session;Title;Instructor;Time/Location;Credits
20958;BIOC 335 001;Full Term;CELL & MOL ANIMAL PHYSIOLOGY;Beason-Abmayr, K. BethCaprette, David;9:25AM - 10:40AM TR ABL 12628-APR-2018 9:00AM - 12:00PM S TBA TBAScheduled Final Exam-OTR Room;3
20725;BIOC 341 S01;Full Term;CELL BIOLOGY;Beckingham, Kathleen M.Novotny, Alma M.;9:25AM - 10:40AM TR ABL 13128-APR-2018 9:00AM - 12:00PM S TBA TBAScheduled Final Exam-OTR Room;3
20406;BIOC 344 S01;Full Term;MOLECULAR BIOLOGY & GENETICS;Stewart, Charles R.;10:50AM - 12:05PM TR ABL 13126-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;3
21330;BIOC 368 001;Full Term;MONSTER;Gustin, MichaelHarter, Deborah A.;2:30PM - 3:45PM TR MCA 20530-APR-2018 2:00PM - 5:00PM M TBA TBANo Final Exam;3
22434;BIOC 380 001;Full Term;NEUROSYSTEMS;Dickman, J D.;9:00AM - 9:50AM MWF SEW 30126-APR-2018 2:00PM - 5:00PM R TBA TBANo Final Exam;3
20407;BIOC 402 001;Full Term;UNDERGRADUATE HONORS RESEARCH;Nikonowicz, Edward P.Tao, Yizhi J.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;5
22538;BIOC 402 002;Full Term;UNDERGRADUATE HONORS RESEARCH;Warmflash, Aryeh;TBA TBANo Final Exam;5
22607;BIOC 402 003;Full Term;UNDERGRADUATE HONORS RESEARCH;Bartel, Bonnie;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;5
24529;BIOC 402 004;Full Term;UNDERGRADUATE HONORS RESEARCH;Beckingham, Kathleen M.;TBA TBANo Final Exam;5
21331;BIOC 402 005;Full Term;UNDERGRADUATE HONORS RESEARCH;Bennett, George N.;TBA TBANo Final Exam;5
24530;BIOC 402 006;Full Term;UNDERGRADUATE HONORS RESEARCH;Bennett, Matthew;TBA TBANo Final Exam;5
