CRN;Course;Session;Title;Instructor;Time/Location;Credits
24843;SWGS 424 001;Full Term;WOMEN IN FRANCE;Fette, Julie;2:00PM - 4:30PM W RZR 20228-APR-2018 2:00PM - 5:00PM S TBA TBANo Final Exam;3
24921;SWGS 466 001;Full Term;LATIN AMERICAN WOMEN'S CULTURE;Gonzalez-Stephan, Beatriz M.;3:00PM - 5:30PM W RZR 30229-APR-2018 2:00PM - 5:00PM U TBA TBANo Final Exam;3
21061;SWGS 470 001;Full Term;POVERTY, JUSTICE, CAPABILITIES;Shehabuddin, Rahnuma;1:00PM - 3:30PM W HUM 12026-APR-2018 7:00PM - 10:00PM R TBA TBANo Final Exam;3
20303;SWGS 495 001;Full Term;INDEPENDENT STUDY;Riedel, Brian S.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20501;SWGS 496 001;Full Term;ENGAGED RESEARCH PRACTICUM;Valdez, Natali T.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;3
20325;SWGS 497 001;Full Term;ENGAGED RESEARCH SEMINAR;Valdez, Natali T.;4:00PM - 6:30PM T RZR 22727-APR-2018 2:00PM - 5:00PM F TBA TBANo Final Exam;3
20304;SWGS 499 001;Full Term;RES STUDY WOMEN GENDER SXLTY;Howe, Alyssa C.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;3
20305;SWGS 501 001;Full Term;FEMINIST DEBATES;Lurie, Susan;9:30AM - 12:00PM R RZR 202GR Course-Dept Schedules Exam;3
23764;SWGS 502 001;Full Term;GENDER, DISCIPL, & INTERDISCIP;Howe, Alyssa C.;2:00PM - 4:30PM W HNZ 201GR Course-Dept Schedules Exam;3
21573;SWGS 503 001;Full Term;DIRECTED READING;;TBA TBAGR Course-Dept Schedules Exam;1 TO 3
24967;THEA 102 001;Full Term;INTRODUCTION TO ACTING;Hinkel, Heidi A.;10:50AM - 12:05PM TR HAM AUD26-APR-2018 9:00AM - 12:00PM R TBA TBANo Final Exam;3
24963;THEA 207 001;Full Term;MAKEUP FOR THE STAGE;Breikjern, Heather R.Hora, Alison B.;3:00PM - 5:30PM M HAM AUD1-MAY-2018 2:00PM - 5:00PM T TBA TBANo Final Exam;3
24949;THEA 300 001;Full Term;INTRODUCTION TO THEATRE DESIGN;Krouskop, Mark A.;1:00PM - 2:15PM TR HAM AUD27-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
24956;THEA 302 001;Full Term;ACTING II;Keefe, Christina;1:00PM - 2:15PM TR HAM AUD27-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
24957;THEA 311 001;Full Term;HISTORY OF MUSICAL THEATRE;Dickinson, Debra;11:00AM - 11:50AM MWF HAM AUD25-APR-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
20271;THEA 331 001;Full Term;THEATRE PRODUCTION;Breikjern, Heather R.Krouskop, Mark A.;7:00PM - 9:50PM MTWRF HAM AUD30-APR-2018 7:00PM - 10:00PM M TBA TBANo Final Exam;1 TO 6
21925;THEA 331 002;Full Term;THEATRE PRODUCTION;Beetle, John F.;7:00PM - 8:50PM MTWRF HAM AUD30-APR-2018 7:00PM - 10:00PM M TBA TBANo Final Exam;1 TO 6
25471;THEA 432 001;Full Term;SPEC PROB: DIRECT & DESIGN;Krouskop, Mark A.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;3
25536;THEA 435 001;Full Term;SPEC PROB:ADVANCED TOPICS;Krouskop, Mark A.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;3
21107;TIBT 332 001;Full Term;ADV TIBETAN LANGUAGE & CULTURE;Klein, Anne C.;10:50AM - 12:05PM TR HUM 226Take-Home Exam;3
